year,hs2,exporter,importer,exporter_iso3,importer_iso3,partner,partner_iso3,direction,value,quantity,price,net_export,gdp_partner,gdp_russia,cpi_partner,cpi_russia,ex_rate_partner,ex_rate_russia,bilateral_er,iip_partner,iip_russia,dist,contig,comlang_off,unfriendly,sanction,eu_member,eaes_member,brics_member,cis_member
2017,09,Denmark,Russian Federation,DNK,RUS,Denmark,DNK,import,38.952000000000005,11.229,3.468875233769704,,331610593961.988,1574199360089.0,1.14713216957606,3.68332944412233,6.60289346561404,58.3428011851719,0.1131740905730148,107.09,106.88,1566.362,0.0,0.0,1,1,1,0,0,0
2017,09,Dominican Rep.,Russian Federation,DOM,RUS,Dominican Rep.,DOM,import,238.675,32.078,7.440457634515867,,79070274743.1658,1574199360089.0,3.27955694678547,3.68332944412233,47.5343581962482,58.3428011851719,0.8147424743179674,105.55,106.88,9365.754,0.0,0.0,0,0,0,0,0,0
2017,09,Ecuador,Russian Federation,ECU,RUS,Ecuador,ECU,import,43.288,3.612,11.984496124031006,,104467486000.0,1574199360089.0,0.41733558866682,3.68332944412233,1.0,58.3428011851719,0.01714007520527065,104.98,106.88,11640.42,0.0,0.0,0,0,0,0,0,0
2017,09,El Salvador,Russian Federation,SLV,RUS,El Salvador,SLV,import,253.735,79.282,3.2004111904341466,,24979190000.0,1574199360089.0,1.01235403315575,3.68332944412233,1.0,58.3428011851719,0.01714007520527065,102.6,106.88,10866.28,0.0,0.0,0,0,0,0,0,0
2017,09,Ethiopia,Russian Federation,ETH,RUS,Ethiopia,ETH,import,15713.501,4221.868,3.7219309083088334,,81770885148.0574,1574199360089.0,10.6871150284238,3.68332944412233,23.8661044574125,58.3428011851719,0.40906682525689536,,106.88,5198.625,0.0,0.0,0,0,0,0,0,0
2017,09,Estonia,Russian Federation,EST,RUS,Estonia,EST,import,6695.329,1768.828,3.7851780953263967,,27469461919.1189,1574199360089.0,3.41723549488055,3.68332944412233,0.885205508269372,58.3428011851719,0.015172488983856867,106.52,106.88,871.7853,1.0,0.0,1,1,1,0,0,0
2017,09,Finland,Russian Federation,FIN,RUS,Finland,FIN,import,24463.306,1655.354,14.778292739800671,,253846138440.0,1574199360089.0,0.754015047084353,3.68332944412233,0.885205508269372,58.3428011851719,0.015172488983856867,108.54,106.88,892.6777,1.0,0.0,1,1,1,0,0,0
2017,09,France,Russian Federation,FRA,RUS,France,FRA,import,2831.5829999999996,406.156,6.971663597238498,,2588868323334.71,1574199360089.0,1.03228275064667,3.68332944412233,0.885205508269372,58.3428011851719,0.015172488983856867,102.93,106.88,2494.316,0.0,0.0,1,1,1,0,0,0
2017,09,Georgia,Russian Federation,GEO,RUS,Georgia,GEO,import,3947.089,2206.135,1.7891420969251652,,16473125375.0684,1574199360089.0,6.03531725272117,3.68332944412233,2.50954166666667,58.3428011851719,0.04301373289742697,111.56,106.88,1644.856,1.0,0.0,0,0,0,0,0,0
2017,09,State of Palestine,Russian Federation,PSE,RUS,State of Palestine,PSE,import,14.805,2.29,6.465065502183406,,16128000000.0,1574199360089.0,0.212570934228876,3.68332944412233,,58.3428011851719,,107.18,106.88,,,,0,0,0,0,0,0
2017,09,Germany,Russian Federation,DEU,RUS,Germany,DEU,import,44448.758,5726.156,7.762407800276486,,3763092263752.95,1574199360089.0,1.50949485109622,3.68332944412233,0.885205508269372,58.3428011851719,0.015172488983856867,103.79,106.88,2065.183,0.0,0.0,1,1,1,0,0,0
2017,09,Ghana,Russian Federation,GHA,RUS,Ghana,GHA,import,0.909,0.109,8.339449541284404,,60385409434.8567,1574199360089.0,12.3719215507049,3.68332944412233,4.35053333333333,58.3428011851719,0.07456846851637008,118.19,106.88,6517.264,0.0,0.0,0,0,0,0,0,0
2017,09,Greece,Russian Federation,GRC,RUS,Greece,GRC,import,747.256,113.711,6.571536614751431,,200381103984.298,1574199360089.0,1.1212545203142,3.68332944412233,0.885205508269372,58.3428011851719,0.015172488983856867,106.15,106.88,2233.583,0.0,0.0,1,1,1,0,0,0
2017,09,Grenada,Russian Federation,GRD,RUS,Grenada,GRD,import,46.416,4.057,11.440966231205323,,1125685185.18519,1574199360089.0,0.908458255874258,3.68332944412233,2.7,58.3428011851719,0.046278203054230756,,106.88,9489.634,0.0,0.0,0,0,0,0,0,0
2017,09,Guatemala,Russian Federation,GTM,RUS,Guatemala,GTM,import,3830.5950000000003,992.123,3.8610081612864535,,71653754107.104,1574199360089.0,4.42453655182547,3.68332944412233,7.34793875,58.3428011851719,0.12594422277872241,106.05,106.88,10835.78,0.0,0.0,0,0,0,0,0,0
2017,09,Guinea,Russian Federation,GIN,RUS,Guinea,GIN,import,18.422,4.799,3.8387163992498436,,10324668271.1362,1574199360089.0,8.91435947913094,3.68332944412233,9088.31949623166,58.3428011851719,155.77447965493812,113.53,106.88,6914.966,0.0,0.0,0,0,0,0,0,0
2017,09,Honduras,Russian Federation,HND,RUS,Honduras,HND,import,15184.953,5147.924,2.9497236167433707,,23136247990.5977,1574199360089.0,3.93436084442048,3.68332944412233,23.4870839434552,58.3428011851719,0.4025703851433269,106.89,106.88,10729.13,0.0,0.0,0,0,0,0,0,0
2017,09,"China, Hong Kong SAR",Russian Federation,HKG,RUS,"China, Hong Kong SAR",HKG,import,1.956,0.244,8.01639344262295,,341273289534.466,1574199360089.0,1.49387243939528,3.68332944412233,7.79325,58.3428011851719,0.13357689109347548,100.0,106.88,7145.355,0.0,0.0,0,0,0,0,0,0
2017,09,Hungary,Russian Federation,HUN,RUS,Hungary,HUN,import,16.064,3.5349999999999997,4.5442715700141445,,143335098991.862,1574199360089.0,2.3482428115016,3.68332944412233,274.433333333333,58.3428011851719,4.7038079721664365,106.08,106.88,1574.19,0.0,0.0,1,0,1,0,0,0
2017,09,Indonesia,Russian Federation,IDN,RUS,Indonesia,IDN,import,105270.361,50195.899,2.0971904696835892,,1015618744159.73,1574199360089.0,3.80879857691949,3.68332944412233,13380.8338788891,58.3428011851719,229.34849899339255,108.94,106.88,9302.706,0.0,0.0,0,0,0,0,0,0
2017,09,Iran,Russian Federation,IRN,RUS,Iran,IRN,import,749.3100000000001,255.64800000000002,2.93102234322193,,489168731811.147,1574199360089.0,8.04492437660281,3.68332944412233,33226.2981524127,58.3428011851719,569.501249125099,,106.88,2466.589,0.0,0.0,0,0,0,0,0,0
2017,09,Israel,Russian Federation,ISR,RUS,Israel,ISR,import,835.672,134.134,6.23012808087435,,358451839052.991,1574199360089.0,0.249807840122998,3.68332944412233,3.59955554812834,58.3428011851719,0.06169665280046897,101.48,106.88,2643.989,0.0,0.0,0,0,0,0,0,0
2017,09,Italy,Russian Federation,ITA,RUS,Italy,ITA,import,60739.145,11602.441,5.235031576544969,,1970720904584.71,1574199360089.0,1.22653316645805,3.68332944412233,0.885205508269372,58.3428011851719,0.015172488983856867,104.86,106.88,2383.171,0.0,0.0,1,1,1,0,0,0
2017,09,Jamaica,Russian Federation,JAM,RUS,Jamaica,JAM,import,68.228,1.09,62.594495412844026,,14808985132.7722,1574199360089.0,4.37839864991563,3.68332944412233,127.964544179198,58.3428011851719,2.1933219108396322,109.44,106.88,9806.688,0.0,0.0,0,0,0,0,0,0
2017,09,Japan,Russian Federation,JPN,RUS,Japan,JPN,import,1168.685,104.961,11.13446899324511,,4930837369151.42,1574199360089.0,0.484199796126422,3.68332944412233,112.166141081871,58.3428011851719,1.922536093628267,103.09,106.88,7486.303,0.0,0.0,1,1,0,0,0,0
2017,09,Kazakhstan,Russian Federation,KAZ,RUS,Kazakhstan,KAZ,import,7219.736,1544.7229999999997,4.673806242284216,,166805788827.233,1574199360089.0,7.44266321306799,3.68332944412233,326.001022727273,58.3428011851719,5.587682046540605,107.52,106.88,3104.607,1.0,1.0,0,0,0,1,0,1
2017,09,Jordan,Russian Federation,JOR,RUS,Jordan,JOR,import,13.432,1.92,6.995833333333334,,41608435915.493,1574199360089.0,3.32389447576103,3.68332944412233,0.71,58.3428011851719,0.012169453395742161,93.1,106.88,2652.505,0.0,0.0,0,0,0,0,0,0
2017,09,Kenya,Russian Federation,KEN,RUS,Kenya,KEN,import,70745.71100000001,22349.667999999998,3.165403217622741,,82036510877.2599,1574199360089.0,8.00564967709946,3.68332944412233,103.410004519014,58.3428011851719,1.7724552544332777,103.79,106.88,6348.253,0.0,0.0,0,0,0,0,0,0
2017,09,Dem. People's Rep. of Korea,Russian Federation,PRK,RUS,Dem. People's Rep. of Korea,PRK,import,0.064,0.001,64.0,,,1574199360089.0,,3.68332944412233,,58.3428011851719,,104.68,106.88,6418.446,1.0,0.0,0,0,0,0,0,0
2017,09,Rep. of Korea,Russian Federation,KOR,RUS,Rep. of Korea,KOR,import,198.21099999999998,19.122,10.365599832653487,,1623074183501.9,1574199360089.0,1.94433230786365,3.68332944412233,1131.00083333333,58.3428011851719,19.385439340557053,,106.88,6614.064,0.0,0.0,1,0,0,0,0,0
2017,09,Kyrgyzstan,Russian Federation,KGZ,RUS,Kyrgyzstan,KGZ,import,157.49699999999999,128.161,1.2288995872379271,,7702938379.42036,1574199360089.0,3.1753098637994,3.68332944412233,68.866667859063,58.3428011851719,1.180379866240735,115.96,106.88,2985.871,0.0,1.0,0,0,0,1,0,1
2017,09,Lao People's Dem. Rep.,Russian Federation,LAO,RUS,Lao People's Dem. Rep.,LAO,import,144.571,43.719,3.3068231203824423,,17071155481.4994,1574199360089.0,0.825478607568033,3.68332944412233,8244.84318921019,58.3428011851719,141.31723231872618,107.72,106.88,6809.734,0.0,0.0,0,0,0,0,0,0
2017,09,Lebanon,Russian Federation,LBN,RUS,Lebanon,LBN,import,32.86,4.524,7.263483642793988,,53027680685.9038,1574199360089.0,4.32135218303191,3.68332944412233,1507.5,58.3428011851719,25.838663371945504,,106.88,2441.484,0.0,0.0,0,0,0,0,0,0
2017,09,Latvia,Russian Federation,LVA,RUS,Latvia,LVA,import,1210.063,186.472,6.4892477154747095,,29391059767.4259,1574199360089.0,2.9303631237467,3.68332944412233,0.885205508269372,58.3428011851719,0.015172488983856867,114.16,106.88,847.8519,1.0,0.0,1,1,1,0,0,0
2017,09,Lithuania,Russian Federation,LTU,RUS,Lithuania,LTU,import,9444.859,458.9,20.581518849422533,,47756764508.446,1574199360089.0,3.72288862303706,3.68332944412233,0.885205508269372,58.3428011851719,0.015172488983856867,109.96,106.88,794.0689,1.0,0.0,1,1,1,0,0,0
